"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"531","Camp Far West","Sacramento Municipal Util Dist","16534","CA","HYC",12.9110000000000000
"534","Jones Fork","Sacramento Municipal Util Dist","16534","CA","HYC",0.42300000000000000000
"535","McClellan (CA)","Sacramento Municipal Util Dist","16534","CA","NG",1.4760000000000000
"607","Fredonia","Puget Sound Energy Inc","15500","WA","DFO",3.1790000000000000
"607","Fredonia","Puget Sound Energy Inc","15500","WA","NG",192.1350000000000000
"692","Medicine Bow","SRIV Partnership LLC","62042","WY","WND",16.1210000000000000
"757","Blue Ridge","Tennessee Valley Authority","18642","GA","HYC",61.3260000000000000
"758","Nottely","Tennessee Valley Authority","18642","GA","HYC",67.9080000000000000
"788","East Barnet","Green Mountain Power Corp","7601","VT","HYC",5.6620000000000000
"825","Ashton","PacifiCorp","14354","ID","HYC",35.5560000000000000
"827","Grace","PacifiCorp","14354","ID","HYC",100.7400000000000000
"829","Oneida","PacifiCorp","14354","ID","HYC",49.9030000000000000
"831","Soda","PacifiCorp","14354","ID","HYC",25.5750000000000000
"899","Moline","MidAmerican Energy Co","12341","IL","NG",-0.09900000000000000000
"899","Moline","MidAmerican Energy Co","12341","IL","HYC",7.7080000000000000
"913","Venice","Union Electric Co - (MO)","19436","IL","DFO",0E-20
"913","Venice","Union Electric Co - (MO)","19436","IL","NG",64.8380000000000000
"944","Geneseo","City of Geneseo - (IL)","7095","IL","DFO",-0.25700000000000000000
"944","Geneseo","City of Geneseo - (IL)","7095","IL","NG",-0.00400000000000000000
"944","Geneseo","City of Geneseo - (IL)","7095","IL","SUN",1.6470000000000000
"944","Geneseo","City of Geneseo - (IL)","7095","IL","WND",5.8550000000000000
"987","Last Chance","PacifiCorp","14354","ID","HYC",6.2180000000000000
"1047","Lansing","Interstate Power and Light Co","9417","IA","DFO",2.4210000000000000
"1047","Lansing","Interstate Power and Light Co","9417","IA","COL",325.3210000000000000
"1068","Marshalltown","Interstate Power and Light Co","9417","IA","DFO",0E-20
"1068","Marshalltown","Interstate Power and Light Co","9417","IA","NG",48.7350000000000000
"1073","Prairie Creek","Interstate Power and Light Co","9417","IA","NG",11.5080000000000000
"1073","Prairie Creek","Interstate Power and Light Co","9417","IA","COL",37.2480000000000000
"1079","Coralville GT","MidAmerican Energy Co","12341","IA","NG",-0.04800000000000000000
"1081","Riverside","MidAmerican Energy Co","12341","IA","NG",-3.9280000000000000
"1081","Riverside","MidAmerican Energy Co","12341","IA","COL",0E-20
