City,State,Wind Speed,Date
SAN ANTONIO,TX,7.6,1/1/2022
VICTORIA,TX,9.7,1/1/2022
WACO,TX,9.9,1/1/2022
WICHITA FALLS,TX,10.9,1/1/2022
SALT LAKE CITY,UT,6.5,1/1/2022
BURLINGTON,VT,9.2,1/1/2022
LYNCHBURG,VA,6.3,1/1/2022
NORFOLK,VA,10,1/1/2022
RICHMOND,VA,8.2,1/1/2022
ROANOKE,VA,8,1/1/2022
WALLOPS ISLAND,VA,9.3,1/1/2022
OLYMPIA,WA,6,1/1/2022
QUILLAYUTE,WA,6.3,1/1/2022
SEATTLE,WA,8.4,1/1/2022
SPOKANE,WA,8.2,1/1/2022
WALLA WALLA,WA,7.1,1/1/2022
YAKIMA,WA,4.4,1/1/2022
BECKLEY,WV,8.6,1/1/2022
CHARLESTON,WV,5.8,1/1/2022
ELKINS,WV,6,1/1/2022
HUNTINGTON,WV,6.9,1/1/2022
GREEN BAY,WI,9.6,1/1/2022
LA CROSSE,WI,8.6,1/1/2022
MADISON,WI,8.6,1/1/2022
MILWAUKEE,WI,11,1/1/2022
CASPER,WY,15.5,1/1/2022
CHEYENNE,WY,14.3,1/1/2022
LANDER,WY,4.8,1/1/2022
SHERIDAN,WY,6.7,1/1/2022
GUAM,PC,11.7,1/1/2022
KOROR,PC,6.8,1/1/2022
SAN JUAN,PR,7.7,1/1/2022
BIRMINGHAM,AL,7.4,2/1/2022
HUNTSVILLE,AL,8.7,2/1/2022
MOBILE,AL,8.9,2/1/2022
MONTGOMERY,AL,7.3,2/1/2022
ANCHORAGE,AK,6.4,2/1/2022
ANNETTE,AK,8.5,2/1/2022
BARROW,AK,12.9,2/1/2022
BETHEL,AK,13.8,2/1/2022
BETTLES,AK,5,2/1/2022
BIG DELTA,AK,11.3,2/1/2022
COLD BAY,AK,17.4,2/1/2022
FAIRBANKS,AK,3,2/1/2022
GULKANA,AK,4,2/1/2022
HOMER,AK,7,2/1/2022
JUNEAU,AK,7.4,2/1/2022
KING SALMON,AK,10.5,2/1/2022
KODIAK,AK,11.9,2/1/2022
KOTZEBUE,AK,12.8,2/1/2022
MCGRATH,AK,3.7,2/1/2022
NOME,AK,10.3,2/1/2022
TALKEETNA,AK,5,2/1/2022
VALDEZ,AK,6.8,2/1/2022
YAKUTAT,AK,5.6,2/1/2022
FLAGSTAFF,AZ,6.6,2/1/2022
PHOENIX,AZ,5.6,2/1/2022
TUCSON,AZ,7.4,2/1/2022
WINSLOW,AZ,7.6,2/1/2022
FORT SMITH,AR,8.1,2/1/2022
LITTLE ROCK,AR,8.1,2/1/2022
BAKERSFIELD,CA,5.6,2/1/2022
BISHOP,CA,8.1,2/1/2022
BLUE CANYON,CA,6.2,2/1/2022
FRESNO,CA,5,2/1/2022
LONG BEACH,CA,5.4,2/1/2022
LOS ANGELES,CA,1.9,2/1/2022
REDDING,CA,6.6,2/1/2022
SACRAMENTO,CA,6,2/1/2022
SAN DIEGO,CA,6.1,2/1/2022
SAN FRANCISCO,CA,8.7,2/1/2022
SANTA BARBARA,CA,5.5,2/1/2022
SANTA MARIA,CA,7.2,2/1/2022
STOCKTON,CA,7.3,2/1/2022
ALAMOSA,CO,6.8,2/1/2022
COLORADO SPRINGS,CO,9.5,2/1/2022
DENVER,CO,7.8,2/1/2022
GRAND JUNCTION,CO,6.4,2/1/2022
PUEBLO,CO,8,2/1/2022
BRIDGEPORT,CT,10.3,2/1/2022
HARTFORD,CT,8.8,2/1/2022
WILMINGTON,DE,9.6,2/1/2022
WASHINGTON DULLES,DC,8,2/1/2022
